loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,0,0.000,0.000,0,0.000
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,0,0.000,0.000,0,0.000
'',00:00:20,0,0,0.000,0.000,0,0.000
'',00:00:25,0,0,0.000,0.000,0,0.000
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,0,0.000,0.000,0,0.000
'',00:00:40,0,0,0.000,0.000,0,0.000
'',00:00:45,0,2,41613.833,0.040,0,83227.666
'',00:00:50,0,1,46602.996,0.020,0,46602.996
'',00:00:55,0,23,4871.800,0.232,0,22410.281
'',00:01:00,0,27,2962.777,0.678,0,11427.853
'',00:01:05,0,6,2835.833,0.055,0,3402.999
'',00:01:10,0,9,4750.931,0.065,0,7126.396
'',00:01:15,0,23,2046.114,0.447,0,9412.123
'',00:01:19,0,16,1644.665,0.714,0,6578.659
