loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,25,296.907,0.371,0,1060.382
'',00:00:10,0,46,377.758,1.012,0,2482.413
'',00:00:15,0,39,373.252,0.799,0,2079.549
'',00:00:20,0,37,607.874,0.782,0,3213.050
'',00:00:25,0,55,479.711,1.248,0,3769.155
'',00:00:30,0,43,371.619,0.844,0,2282.804
'',00:00:35,0,43,455.223,0.807,0,2796.369
'',00:00:40,0,41,584.913,0.749,0,3425.920
'',00:00:45,0,42,573.102,0.891,0,3438.612
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,1,21174.584,0.000,0,21174.584
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,0,0.000,0.000,0,0.000
'',00:01:30,0,10,36020.502,0.000,0,180102.511
'',00:01:35,0,6,42267.569,0.000,0,253605.415
'',00:01:40,0,0,0.000,0.000,0,0.000
'',00:01:45,0,9,1285.388,0.228,0,1652.642
'',00:01:50,0,12,7335.770,0.123,0,12575.605
'',00:01:55,0,34,2241.444,0.764,0,10887.015
'',00:01:55,0,5,378.521,0.188,0,630.868
