loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,0,0.000,0.000,0,0.000
'',00:00:10,0,10,266.293,0.032,0,2662.932
'',00:00:15,0,11,131.312,0.034,0,1444.433
'',00:00:20,0,12,611.029,0.337,0,7332.342
'',00:00:25,0,10,715.485,0.652,0,7154.852
'',00:00:30,0,19,375.389,0.371,0,7132.399
'',00:00:35,0,22,333.730,0.688,0,7342.053
'',00:00:40,0,26,262.271,0.387,0,6819.036
'',00:00:45,0,13,753.777,0.662,0,9799.100
'',00:00:50,0,23,338.822,0.690,0,7792.915
'',00:00:55,0,26,291.691,0.696,0,7583.961
'',00:01:00,0,33,223.667,0.712,0,7381.021
'',00:01:05,0,13,411.494,0.338,0,5349.422
'',00:01:10,0,19,686.041,0.662,0,13034.782
'',00:01:15,0,11,532.248,0.707,0,5854.723
'',00:01:20,0,8,473.133,0.337,0,3785.064
'',00:01:25,0,13,293.111,0.348,0,3810.444
'',00:01:30,0,17,224.247,0.367,0,3812.192
'',00:01:31,0,4,239.667,0.003,0,958.668
