loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,18,265.571,1.155,0,2390.142
'',00:00:10,0,35,225.363,1.918,0,3943.860
'',00:00:15,0,37,193.198,1.942,0,3574.163
'',00:00:20,0,34,208.867,1.789,0,3550.747
'',00:00:25,0,33,224.989,1.796,0,3712.312
'',00:00:30,0,35,231.414,1.918,0,4049.743
'',00:00:35,0,36,202.236,1.958,0,3640.251
'',00:00:40,0,36,215.680,1.786,0,3882.245
'',00:00:45,0,33,204.794,1.086,0,3379.096
'',00:00:50,0,29,200.446,0.995,0,2906.472
'',00:00:55,0,29,197.021,1.005,0,2856.799
'',00:01:00,0,29,191.451,1.121,0,2776.037
'',00:01:05,0,9,196.892,0.154,0,886.014
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,0,0.000,0.000,0,0.000
'',00:01:30,0,0,0.000,0.000,0,0.000
'',00:01:35,0,0,0.000,0.000,0,0.000
'',00:01:40,0,1,953.478,0.251,0,953.478
'',00:01:45,0,0,0.000,0.000,0,0.000
'',00:01:50,0,0,0.000,0.000,0,0.000
'',00:01:55,0,0,0.000,0.000,0,0.000
'',00:02:00,0,0,0.000,0.000,0,0.000
