loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,5,1753.783,0.159,0,8768.913
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,2,1725.045,0.036,0,3450.091
'',00:00:20,0,3,1402.615,0.442,0,4207.846
'',00:00:25,0,2,1370.991,1.113,0,2741.982
'',00:00:30,0,2,1459.307,0.069,0,2918.613
'',00:00:35,0,0,0.000,0.000,0,0.000
'',00:00:40,0,2,1144.148,0.009,0,1144.148
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,1,42513.601,0.000,0,42513.601
'',00:01:30,0,1,3347.604,2.244,0,3347.604
'',00:01:35,0,1,859.698,1.091,0,859.698
'',00:01:40,0,2,1516.307,0.000,0,3032.614
'',00:01:45,0,1,871.299,0.001,0,871.299
'',00:01:50,0,2,3747.034,0.687,0,7494.067
'',00:01:55,0,1,803.925,0.000,0,803.925
'',00:02:00,0,1,3934.543,0.281,0,3934.543
'',00:02:05,0,2,962.504,0.001,1,1925.009
'',00:02:10,0,1,4467.270,0.280,0,4467.270
'',00:02:15,0,0,0.000,0.000,0,0.000
'',00:02:20,0,0,0.000,0.000,0,0.000
'',00:02:25,0,0,0.000,0.000,0,0.000
'',00:02:30,0,0,0.000,0.000,0,0.000
'',00:02:35,0,0,0.000,0.000,0,0.000
'',00:02:40,0,0,0.000,0.000,0,0.000
'',00:02:45,0,0,0.000,0.000,0,0.000
'',00:02:50,0,0,0.000,0.000,0,0.000
'',00:02:55,0,0,0.000,0.000,0,0.000
'',00:03:00,0,0,0.000,0.000,0,0.000
'',00:03:05,0,1,2169.121,0.000,0,2169.121
'',00:03:05,0,2,1604.426,0.200,0,3208.852
